instance,votes,candidates,trivial,reductions,hull_val,hull_time,hull++_val,hull++_time,TMC_val,TMC_time,valtr_val,valtr_time,QCP_val,QCP_time,IR_val,IR_time
../PrefLib-Data/datasets/00004 - netflix/00004-00000001.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000002.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000003.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000004.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000005.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000006.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000007.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000008.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000009.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000010.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000011.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000012.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000013.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000014.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000015.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000016.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000017.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
../PrefLib-Data/datasets/00004 - netflix/00004-00000018.soc,6,3,True,None,None,None,None,None,None,None,None,None,None,None,None,None
